🎡hd0808源1025,#genre#
寰宇新闻,http://hd0808.top/iptv/136jd.php?id=44
壹新闻,http://hd0808.top/iptv/136jd.php?id=45
年代新闻,http://hd0808.top/iptv/136jd.php?id=36
中天新闻,http://hd0808.top/iptv/136jd.php?id=38
三立新闻,http://hd0808.top/iptv/136jd.php?id=40
非凡新闻,http://hd0808.top/iptv/136jd.php?id=41
非凡商业,http://hd0808.top/iptv/136jd.php?id=42
东森财经新闻,http://hd0808.top/iptv/136jd.php?id=43
中视,http://hd0808.top/iptv/136jd.php?id=1
华视HD,http://hd0808.top/iptv/136jd.php?id=2
人间卫视,http://hd0808.top/iptv/136jd.php?id=5
大爱,http://hd0808.top/iptv/136jd.php?id=6
好消息,http://hd0808.top/iptv/136jd.php?id=7
国家地理杂志,http://hd0808.top/iptv/136jd.php?id=8
Discovery,http://hd0808.top/iptv/136jd.php?id=9
亚洲旅游台,http://hd0808.top/iptv/136jd.php?id=12
东森幼幼,http://hd0808.top/iptv/136jd.php?id=14
龙华卡通,http://hd0808.top/iptv/136jd.php?id=15
纬来综合,http://hd0808.top/iptv/136jd.php?id=16
八大第一,http://hd0808.top/iptv/136jd.php?id=17
卫视中文,http://hd0808.top/iptv/136jd.php?id=21
东森综合,http://hd0808.top/iptv/136jd.php?id=22
东森超视,http://hd0808.top/iptv/136jd.php?id=23
中天娱乐,http://hd0808.top/iptv/136jd.php?id=25
东森戏剧,http://hd0808.top/iptv/136jd.php?id=28
八大戏剧,http://hd0808.top/iptv/136jd.php?id=29
纬来戏剧,http://hd0808.top/iptv/136jd.php?id=30
龙华戏剧,http://hd0808.top/iptv/136jd.php?id=31
龙华日韩,http://hd0808.top/iptv/136jd.php?id=32
龙华偶像,http://hd0808.top/iptv/136jd.php?id=33
纬来日本HD,http://hd0808.top/iptv/136jd.php?id=34
华视新闻资讯,http://hd0808.top/iptv/136jd.php?id=35
Bloomberg News,http://hd0808.top/iptv/136jd.php?id=46
NHK世界HD,http://hd0808.top/iptv/136jd.php?id=47
卫视电影台,http://hd0808.top/iptv/136jd.php?id=48
Hollywood电影,http://hd0808.top/iptv/136jd.php?id=49
纬来电影,http://hd0808.top/iptv/136jd.php?id=50
龙华电影,http://hd0808.top/iptv/136jd.php?id=51
HBO,http://hd0808.top/iptv/136jd.php?id=52
CINEMAX HD,http://hd0808.top/iptv/136jd.php?id=54
STAR MOVIES GOLD,http://hd0808.top/iptv/136jd.php?id=55
Star World,http://hd0808.top/iptv/136jd.php?id=56
纬来育乐,http://hd0808.top/iptv/136jd.php?id=57
纬来体育,http://hd0808.top/iptv/136jd.php?id=58
博斯运动一,http://hd0808.top/iptv/136jd.php?id=59
ELEVEN 1,http://hd0808.top/iptv/136jd.php?id=61
ELEVEN 2,http://hd0808.top/iptv/136jd.php?id=62
厦门卫视,http://hd0808.top/iptv/136jd.php?id=63
CCTV-4,http://hd0808.top/iptv/136jd.php?id=64
海峡卫视,http://hd0808.top/iptv/136jd.php?id=65
东方卫视,http://hd0808.top/iptv/136jd.php?id=67
湖南卫视,http://hd0808.top/iptv/136jd.php?id=68
凤凰电视,http://hd0808.top/iptv/136jd.php?id=69


卷毛鼠源1106,#genre#
FXX,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/95
Disney Channel,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/97
History,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/98
NBA测试,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/100
TR当地采集测试,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/101
TEST,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/103
【咪咕】英超联赛,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/105
民视第一台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/108
民视台湾台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/109
民视,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/110
大爱电视,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/111
中视,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/112
中视经典台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/113
华视,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/114
三立综合台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/115
客家电视台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/116
八大综艺台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/117
中视菁采台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/118
TVBS精采台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/119
爱尔达娱乐台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/120
靖天综合台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/121
靖天日本台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/122
新唐人亚太台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/123
中天综合台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/124
ARIRANG阿里郎频道,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/125
LiveABC互动英语频道,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/126
达文西频道,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/127
ELTV生活英语台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/128
Nick Jr. 儿童频道,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/129
尼克儿童频道,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/130
靖天卡通台,http://www.arp220.us:80/pSdglyiPAEUyS7/QtEjLmT53zbWZa/131
