hd0808源1025,#genre#
寰宇新闻,http://hd0808.top/iptv/136jd.php?id=44
壹新闻,http://hd0808.top/iptv/136jd.php?id=45
年代新闻,http://hd0808.top/iptv/136jd.php?id=36
中天新闻,http://hd0808.top/iptv/136jd.php?id=38
三立新闻,http://hd0808.top/iptv/136jd.php?id=40
非凡新闻,http://hd0808.top/iptv/136jd.php?id=41
非凡商业,http://hd0808.top/iptv/136jd.php?id=42
东森财经新闻,http://hd0808.top/iptv/136jd.php?id=43
中视,http://hd0808.top/iptv/136jd.php?id=1
华视HD,http://hd0808.top/iptv/136jd.php?id=2
人间卫视,http://hd0808.top/iptv/136jd.php?id=5
大爱,http://hd0808.top/iptv/136jd.php?id=6
好消息,http://hd0808.top/iptv/136jd.php?id=7
国家地理杂志,http://hd0808.top/iptv/136jd.php?id=8
Discovery,http://hd0808.top/iptv/136jd.php?id=9
亚洲旅游台,http://hd0808.top/iptv/136jd.php?id=12
东森幼幼,http://hd0808.top/iptv/136jd.php?id=14
龙华卡通,http://hd0808.top/iptv/136jd.php?id=15
纬来综合,http://hd0808.top/iptv/136jd.php?id=16
八大第一,http://hd0808.top/iptv/136jd.php?id=17
卫视中文,http://hd0808.top/iptv/136jd.php?id=21
东森综合,http://hd0808.top/iptv/136jd.php?id=22
东森超视,http://hd0808.top/iptv/136jd.php?id=23
中天娱乐,http://hd0808.top/iptv/136jd.php?id=25
东森戏剧,http://hd0808.top/iptv/136jd.php?id=28
八大戏剧,http://hd0808.top/iptv/136jd.php?id=29
纬来戏剧,http://hd0808.top/iptv/136jd.php?id=30
龙华戏剧,http://hd0808.top/iptv/136jd.php?id=31
龙华日韩,http://hd0808.top/iptv/136jd.php?id=32
龙华偶像,http://hd0808.top/iptv/136jd.php?id=33
纬来日本HD,http://hd0808.top/iptv/136jd.php?id=34
华视新闻资讯,http://hd0808.top/iptv/136jd.php?id=35
Bloomberg News,http://hd0808.top/iptv/136jd.php?id=46
NHK世界HD,http://hd0808.top/iptv/136jd.php?id=47
卫视电影台,http://hd0808.top/iptv/136jd.php?id=48
Hollywood电影,http://hd0808.top/iptv/136jd.php?id=49
纬来电影,http://hd0808.top/iptv/136jd.php?id=50
龙华电影,http://hd0808.top/iptv/136jd.php?id=51
HBO,http://hd0808.top/iptv/136jd.php?id=52
CINEMAX HD,http://hd0808.top/iptv/136jd.php?id=54
STAR MOVIES GOLD,http://hd0808.top/iptv/136jd.php?id=55
Star World,http://hd0808.top/iptv/136jd.php?id=56
纬来育乐,http://hd0808.top/iptv/136jd.php?id=57
纬来体育,http://hd0808.top/iptv/136jd.php?id=58
博斯运动一,http://hd0808.top/iptv/136jd.php?id=59
ELEVEN 1,http://hd0808.top/iptv/136jd.php?id=61
ELEVEN 2,http://hd0808.top/iptv/136jd.php?id=62
厦门卫视,http://hd0808.top/iptv/136jd.php?id=63
CCTV-4,http://hd0808.top/iptv/136jd.php?id=64
海峡卫视,http://hd0808.top/iptv/136jd.php?id=65
东方卫视,http://hd0808.top/iptv/136jd.php?id=67
湖南卫视,http://hd0808.top/iptv/136jd.php?id=68
凤凰电视,http://hd0808.top/iptv/136jd.php?id=69


198源1025,#genre#
东森新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV20.m3u8
东森电影,http://198.16.64.10:8278/ettvmovie/playlist.m3u8?tid=MDED1943740419437404&ct=19225&tsum=120834a4218c4b5c3bb19efb8116f859
东森财经新闻,http://198.16.64.10:8278/ettvcaijing_twn/playlist.m3u8?tid=MD5D9010164090101640&ct=19225&tsum=cc229773020f89af853b23d81e0e6371
TVBS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV31.m3u8
中天亚洲,http://198.16.64.10:8278/ctiasia_twn/playlist.m3u8?tid=MC3C8838319088383190&ct=19226&tsum=6eaf7a477dd08b06a5dc54b4c05e52e1
中天新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV28.m3u8
中视新闻,http://198.16.64.10:8278/zhongshinews_twn/playlist.m3u8?tid=MD8D4836803548368035&ct=19226&tsum=a2f06c15a5e9c4dc67565c2b8598c8da#https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV09.m3u8
民视新闻台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8
华视,http://198.16.64.10:8278/ctshd_twn/playlist.m3u8?tid=MAFA1309481213094812&ct=19226&tsum=429f7c40691cdcc6c1fb108dbd11e002#https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV12.m3u8#https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV26.m3u8
民视台湾台,http://198.16.64.10:8278/ftvtaiwan_twn/playlist.m3u8?tid=MDFD8196635981966359&ct=19226&tsum=b82639ac8b4590b4206effe348e2f9c2
宝宝电视,http://198.16.64.10:8278/babytv_twn/playlist.m3u8?tid=MC9C6892759268927592&ct=19225&tsum=c523d815f0353c10a5d528226ebb5779
CN卡通,http://198.16.64.10:8278/momo1_twn/playlist.m3u8?tid=MA0A4898983648989836&ct=19225&tsum=bd109117d126916f203880b1f2063d5e
Eleven1台,http://198.16.64.10:8278/bs181_japan/playlist.m3u8?tid=MEBE3981057839810578&ct=19225&tsum=d6fa49cd7b45b3bea924647730100283
Eleven2台,http://198.16.64.10:8278/bsfuji_japan/playlist.m3u8?tid=MEFE1641904216419042&ct=19225&tsum=e49ffeb9a6df295150be1cd8f9b0ea30
HBO高清,http://198.16.64.10:8278/hbohd_twn/playlist.m3u8?tid=ME9E5260921952609219&ct=19225&tsum=a904cd480db106670befb11d14149fce
HBO原创,http://198.16.64.10:8278/hbosignature_twn/playlist.m3u8?tid=MC5C5754321157543211&ct=19225&tsum=2b86077147813534b4cae6dd85bb3c4a
JET综合,http://198.16.64.10:8278/jettv_japan/playlist.m3u8?tid=MA7A4202687942026879&ct=19225&tsum=e84bc4851b9d6f6a18282c1efcb6ed1d
薄层色谱,http://198.16.64.10:8278/tlc_twn/playlist.m3u8?tid=MA0A5904082259040822&ct=19226&tsum=8fa7deead1d4b260825af15bc7378132#http://198.16.64.10:8278/Tlc/playlist.m3u8?tid=MDAD1036602010366020&ct=19225&tsum=ac890e48736a7dd973b991044c960239
